name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"chicago, illinois",2020-05-15,75.4,60.6,66.7,75.4,60.6,66.7,58.5,77.6,1.3,100,45.83,rain,0,0,33.3,13.7,186.8,1011.4,69.7,8.4,210.4,18.3,9,,2020-05-15T05:29:52,2020-05-15T20:04:34,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-16,66.3,51.4,57.5,66.3,51.4,57.5,48.1,71.5,0,0,0,,0,0,23.4,15.5,35.8,1018.2,56.9,9.9,267,23.1,9,,2020-05-16T05:28:54,2020-05-16T20:05:34,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-17,67.4,53.1,60.9,67.4,53.1,60.9,59.6,95.7,3.67,100,91.67,rain,0,0,27.8,13.7,128.1,1009.1,87,4.8,38.4,3.2,2,,2020-05-17T05:27:58,2020-05-17T20:06:33,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-18,64.1,52.5,59.1,64.1,52.5,59.1,56,89.8,0.15,100,8.33,rain,0,0,20.8,12.9,110.8,1007.2,79.9,6.4,155.8,13.3,7,,2020-05-18T05:27:04,2020-05-18T20:07:32,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,KPWK,74466504838,D6362"
"chicago, illinois",2020-05-19,59.1,52.4,55.3,59.1,52.4,55.3,53.7,94.4,0.15,100,29.17,rain,0,0,26.4,17.9,35.1,1013.3,93.5,4.7,56.7,4.8,2,,2020-05-19T05:26:12,2020-05-19T20:08:30,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-20,64,54.5,58.8,64,54.5,58.8,50,73.1,0,0,0,,0,0,27.2,17.5,76.3,1019.6,69.1,9.9,262.1,22.7,9,,2020-05-20T05:25:21,2020-05-20T20:09:27,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-21,67,56.2,61,67,56.2,61,50.2,68.2,0,0,0,,0,0,19.7,10.7,87.1,1019,90.8,9.6,221.6,19,10,,2020-05-21T05:24:32,2020-05-21T20:10:24,1,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-22,68.8,56.5,62,68.8,56.5,62,55.6,80.5,0,0,0,,0,0,,10.6,84.8,1016.5,65.4,7.5,203.2,17.5,9,,2020-05-22T05:23:45,2020-05-22T20:11:19,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-23,81.8,55,67.1,82.1,55,67.1,59.5,78.8,0.46,100,20.83,rain,0,0,28.7,17.3,96.8,1012.6,53.1,8.9,244.6,21.2,9,,2020-05-23T05:23:00,2020-05-23T20:12:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-24,88.9,63.8,76.3,89.7,63.8,76.9,63.6,67.6,0,0,0,,0,0,21.9,10.6,206.9,1011.7,53.5,9.8,304.2,26.4,9,,2020-05-24T05:22:17,2020-05-24T20:13:08,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-25,87.8,69.9,77.6,88,69.9,77.8,64.6,66.2,0.06,100,8.33,rain,0,0,25.3,12.7,197.5,1013.4,59.8,9.8,295.1,25.6,10,,2020-05-25T05:21:35,2020-05-25T20:14:01,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-26,87.8,69.4,79.6,89.4,69.4,80.6,64.8,62,0,0,0,,0,0,31.1,15.4,156.8,1013.8,48.7,9.9,230.4,19.9,7,,2020-05-26T05:20:56,2020-05-26T20:14:53,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-27,86.1,72.7,78,87.6,72.7,78.3,65.3,66.2,0.02,100,8.33,rain,0,0,20.8,10,171.5,1012.6,61.2,9.9,285.4,24.4,10,,2020-05-27T05:20:18,2020-05-27T20:15:44,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-28,81.7,66.6,73.5,82.4,66.6,73.6,65.2,76.7,0.06,100,12.5,rain,0,0,29.1,18.7,191,1010.2,73,9.7,178.5,15.4,7,,2020-05-28T05:19:43,2020-05-28T20:16:34,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-29,74.5,61,66.7,74.5,61,66.7,52.4,62.2,0.09,100,8.33,rain,0,0,27.7,16.9,240,1014,60.5,9.6,260.8,22.4,10,,2020-05-29T05:19:09,2020-05-29T20:17:23,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-30,71.1,55.6,62.2,71.1,55.6,62.2,47.3,59.1,0,0,0,,0,0,19.7,12.4,224.9,1021.3,31.1,9.9,257.1,22.2,7,,2020-05-30T05:18:38,2020-05-30T20:18:11,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-31,65.3,51.5,58.7,65.3,51.5,58.7,40.1,51.5,0,0,0,,0,0,18.3,12.1,77.4,1026.3,21.5,9.9,349.6,30,10,,2020-05-31T05:18:08,2020-05-31T20:18:57,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-01,75.8,54.3,65.4,75.8,54.3,65.4,44.3,46.8,0,0,0,,0,0,31.6,18.6,186.3,1021.1,51.8,9.9,148.3,12.8,6,,2020-06-01T05:17:41,2020-06-01T20:19:42,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-02,94,67.1,80.6,95.1,67.1,81.2,59.9,50.8,0,0,0,,0,0,31.8,21,235.8,1011.1,37,9.9,324.8,27.9,9,,2020-06-02T05:17:15,2020-06-02T20:20:26,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-03,84.8,69.2,76.4,84.2,69.2,76.5,60.4,59.6,0.04,100,8.33,rain,0,0,26.4,15.6,191.3,1009.2,62.6,9.9,175.5,14.9,8,,2020-06-03T05:16:52,2020-06-03T20:21:08,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-04,85.9,69.1,77.7,86.4,69.1,78.3,64.1,64.4,0,0,0,,0,0,27,14.6,193,1007.4,55.8,9.9,247.9,21.4,8,,2020-06-04T05:16:31,2020-06-04T20:21:50,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-05,89.1,70.3,79.9,89.4,70.3,80.5,64.5,61.8,0,0,0,,0,0,23,13.7,204.3,1009.7,55.5,9.9,257.8,22,9,,2020-06-05T05:16:11,2020-06-05T20:22:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-06,74.4,61.3,70.4,74.4,61.3,70.4,53.4,57.3,0,0,0,,0,0,20.8,13.7,98.5,1016.8,30.2,9.5,337.5,29.1,10,,2020-06-06T05:15:54,2020-06-06T20:23:08,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-07,77.7,58.4,68.2,77.7,58.4,68.2,52.5,58.5,0,0,0,,0,0,19.7,11.8,66.6,1017.7,45.2,9.9,303.3,26.1,9,,2020-06-07T05:15:39,2020-06-07T20:23:44,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-08,89,63.8,77.8,86.4,63.8,76.6,51.7,44.1,0,0,0,,0,0,21.9,13.3,132.8,1013.4,37.2,9.9,333.9,28.6,10,,2020-06-08T05:15:26,2020-06-08T20:24:19,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-09,90,74.3,79.6,93,74.3,80.3,63.2,59.9,0.28,100,29.17,rain,0,0,49.1,24.6,150,1002.3,69.4,9.2,216.3,18.6,7,,2020-06-09T05:15:15,2020-06-09T20:24:53,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-10,83,62.2,73.8,86.3,62.2,74,64.9,75.4,0.2,100,33.33,rain,0,0,41.6,25.5,229.8,999.7,66.7,9.5,203.9,17.6,9,,2020-06-10T05:15:06,2020-06-10T20:25:25,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-11,81.7,59.2,71.4,80.1,59.2,71.1,49.2,49.5,0,0,0,,0,0,35.9,21.1,260.8,1016.7,16.3,9.9,320.9,27.7,10,,2020-06-11T05:14:59,2020-06-11T20:25:55,0.67,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-12,75,55.9,66.4,75,55.9,66.4,49.7,55.9,0,0,0,,0,0,23,15.3,105.2,1023.6,22.1,9.9,325.1,28.1,10,,2020-06-12T05:14:54,2020-06-12T20:26:24,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-13,66.3,53.3,59.3,66.3,53.3,59.3,45.4,60.8,0.05,100,8.33,rain,0,0,25.3,17.7,45.8,1025.5,55.5,9.8,302.2,26,10,,2020-06-13T05:14:51,2020-06-13T20:26:51,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-14,68.6,55.7,62,68.6,55.7,62,43.2,52.3,0,0,0,,0,0,23.3,13.8,62.3,1027.1,23,9.9,348.5,30,10,,2020-06-14T05:14:50,2020-06-14T20:27:16,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-15,72.1,55.2,64.4,72.1,55.2,64.4,43.2,49.7,0,0,0,,0,0,21.3,12.6,72.6,1027.5,25.5,9.9,346.4,30,10,,2020-06-15T05:14:51,2020-06-15T20:27:39,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-16,83.3,57.8,71.1,82.2,57.8,70.9,53.2,55.2,0,0,0,,0,0,20.8,12.9,93.6,1025,18.5,9.9,334.1,28.8,9,,2020-06-16T05:14:55,2020-06-16T20:28:00,0.9,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-17,85.8,64.5,76,83.4,64.5,75.3,53.3,48.2,0,0,0,,0,0,20.8,14.4,88,1020.5,30.6,9.9,328.8,28.5,9,,2020-06-17T05:15:00,2020-06-17T20:28:20,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-18,87.5,65.5,77.7,85.1,65.5,76.9,52.4,43.5,0,0,0,,0,0,23,14.5,81,1016.4,16.7,9.9,328.3,28.5,9,,2020-06-18T05:15:07,2020-06-18T20:28:37,0.97,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-19,92,69.4,81.6,90.1,69.4,80.9,56.7,44.7,0,0,0,,0,0,21.9,12.5,163.4,1014.8,40.1,9.9,284.9,24.5,9,,2020-06-19T05:15:17,2020-06-19T20:28:53,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-20,89.8,71.2,80.5,88.6,71.2,80.6,61.9,55.1,0.28,100,12.5,rain,0,0,32.5,19.6,185.7,1012.3,53.4,9.6,200.8,17.4,8,,2020-06-20T05:15:28,2020-06-20T20:29:07,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-21,81.6,69.8,75.7,82.3,69.8,75.9,64.6,70.4,0.02,100,4.17,rain,0,0,,14.2,191.7,1011.2,57.2,9.8,272.8,23.4,9,,2020-06-21T05:15:41,2020-06-21T20:29:19,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-22,84.4,67.2,74.4,87.3,67.2,74.8,66.1,76.3,0.71,100,29.17,rain,0,0,26.4,13,177.4,1008.9,55.5,9.3,182.5,15.8,9,,2020-06-22T05:15:56,2020-06-22T20:29:28,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-23,77.5,63,69.4,77.5,63,69.4,56.2,65.9,0,0,0,,0,0,26.4,17.7,257.1,1006.9,65.6,9.9,249.2,21.6,10,,2020-06-23T05:16:13,2020-06-23T20:29:36,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-24,78.6,61.8,70.4,78.6,61.8,70.4,54.5,59.5,0.06,100,8.33,rain,0,0,30.9,12.3,248.7,1010.1,59.9,9.9,233.9,20.3,7,,2020-06-24T05:16:31,2020-06-24T20:29:42,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,D6362,KPWK"
"chicago, illinois",2020-06-25,83.1,62.8,73.8,81.9,62.8,73.7,54.5,52.6,0,0,0,,0,0,21.3,12,215.5,1013.2,38,9.9,320.2,27.9,9,,2020-06-25T05:16:52,2020-06-25T20:29:45,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-26,83.3,69.6,74.2,88.5,69.6,74.8,64.3,72.3,1.39,100,45.83,rain,0,0,41.7,18.4,218.8,1012,63.5,9.2,57.5,4.8,3,,2020-06-26T05:17:14,2020-06-26T20:29:47,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-27,88.1,71.7,79,90.7,71.7,80.2,68.6,73,0,0,0,,0,0,,12.4,246.3,1008.1,53.6,9.8,258,22.3,8,,2020-06-27T05:17:38,2020-06-27T20:29:46,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-28,83.4,71.7,77.4,87.6,71.7,78.7,68.5,74.9,0.08,100,4.17,rain,0,0,,13.4,151.9,1008.5,54.8,9.9,295.8,25.5,9,,2020-06-28T05:18:04,2020-06-28T20:29:44,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-29,90.9,72.4,79.1,98.2,72.4,81.5,69.1,72.8,0.34,100,16.67,rain,0,0,36.7,13.8,141.2,1011.3,55.7,9.8,237.6,20.3,9,,2020-06-29T05:18:31,2020-06-29T20:29:39,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-06-30,87.8,73,80.1,93.6,73,82.7,70.1,72.5,0,0,0,,0,0,19.7,14,90.3,1011.8,51.6,9.9,178,15.3,8,,2020-06-30T05:19:00,2020-06-30T20:29:32,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-01,87.3,73.7,80.4,88.8,73.7,80.9,64.8,60.6,0,0,0,,0,0,23,14.2,85.3,1012.2,45.3,9.7,285.8,24.7,9,,2020-07-01T05:19:31,2020-07-01T20:29:24,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-02,89.1,72,80.6,88.5,72,80.7,62.7,57,0,0,0,,0,0,18.3,11.8,63.8,1015.8,43.4,9.9,286.4,24.8,9,,2020-07-02T05:20:03,2020-07-02T20:29:13,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-03,88.7,69.5,80.6,87.5,69.5,80.3,61.1,54.4,0,0,0,,0,0,18.3,11.4,147.5,1016.4,34.2,9.8,331.2,28.4,10,,2020-07-03T05:20:37,2020-07-03T20:28:59,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-04,88.7,71.9,80.7,92.4,71.9,82.3,66.7,63.3,0,0,0,,0,0,20.8,12.8,141.5,1015.4,44,9.5,317.7,27.3,9,,2020-07-04T05:21:12,2020-07-04T20:28:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-05,90.7,73.1,82.7,91.4,73.1,83.3,64.1,55.8,0,0,0,,0,0,17.2,11.8,73.9,1014.4,24.4,9.3,321.8,27.8,9,,2020-07-05T05:21:49,2020-07-05T20:28:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-06,93.3,76.5,85.4,93.9,76.5,86.1,63.2,48.7,0,0,0,,0,0,,11,138.2,1014.2,35.1,9.9,297.6,25.6,9,,2020-07-06T05:22:27,2020-07-06T20:28:07,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-07,93.5,75.1,84.9,96,75.1,87,66.5,55.4,0.07,100,16.67,rain,0,0,59.7,13.3,202,1013.3,36.4,9.8,264.9,22.9,9,,2020-07-07T05:23:07,2020-07-07T20:27:46,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-08,90.6,74.6,82.1,94.1,74.6,84.3,68.2,64,0,0,0,,0,0,20.8,10.2,127,1012.5,58.9,9.9,238.1,20.6,7,,2020-07-08T05:23:47,2020-07-08T20:27:22,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-09,92.4,76.1,84.5,97.2,76.1,87.2,68.6,60.3,0.04,100,4.17,rain,0,0,34.1,17.2,205.3,1009.5,49,9.7,287.2,24.7,9,,2020-07-09T05:24:30,2020-07-09T20:26:57,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-07-10,86.4,70.4,78.1,88,70.4,78.6,66.4,70.3,0.63,100,25,rain,0,0,30,19.9,277.7,1009.1,53.5,9.2,263.2,22.6,9,,2020-07-10T05:25:13,2020-07-10T20:26:29,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,KPWK,74466504838,D6362"
